id,name,x,y,lon,lat,context
7973,南京路步行街,13523603.01635883,3663637.0235004686,121.4845928596,31.237541636,"南京路步行街, 黄浦区, 南京路步行街是上海著名的商业步行街，汇集了众多国际品牌和本土特色商铺，是游客购物和观光的热门去处。"
7977,上海邮政博物馆,13523626.163588282,3664528.9756211713,121.4848007947,31.2443923087,"上海邮政博物馆, 虹口区, 上海邮政博物馆是一座展示中国邮政历史和文化的博物馆。值得看，不懂邮票也会被这些精美有趣的设计惊艳到，楼内的玻璃穹顶也是打卡拍照的地方。"
12959,外滩,13524272.095646055,3663666.8105886206,121.4906033011,31.2377704249,"外滩, 黄浦区, 外滩是上海的著名景点，是一处观赏黄浦江风景的地方。非常多人五一节假日应该会爆，站在路边人行道上可以拍很好看的照片。我们就沿着北苏州路散步到了外滩看夜景。想要拍东方明珠和三件套的话不要道外滩观景台人挤人啦，外白渡桥或者乍浦路桥位置更佳，人少画面还更全。从步行街吃完晚饭就可以去外滩欣赏夜景🌃啦，如果时间卡得好，在外滩可以看到非常壮观的日落和明珠先生一起哟。晚上的外滩特别壮观，都是上世纪外国人在上海居住遗留下来的建筑，金碧辉煌！在街道对面就可以上天台欣赏夜晚的东方明珠啦，关真的很壮观！时间充裕推荐坐一回游客bus，购票上车点—>新世界城商场对面BUS TOUR，外滩夜景真的绝美！"
12960,武康大楼,13518445.111598764,3659326.8650586535,121.4382586128,31.2044302975,"武康大楼, 徐汇区, 武康大楼是一座历史悠久的建筑，具有独特的氛围感。"
12961,乍浦路桥,13523960.449907696,3664542.660764318,121.4878037398,31.2444974141,"乍浦路桥, 虹口区, 乍浦路桥是一座连接两岸的桥梁，是一个经典的打卡点，附近有苏州河和咖啡店区域，可以拍照和欣赏风景。"
12973,外白渡桥,13524223.368255155,3664388.5400068862,121.4901655755,31.2433137205,"外白渡桥, 虹口区, 外白渡桥，是上海的地标性建筑，位于黄浦江畔，是拍摄落日美景的绝佳地点，也是观赏上海四件套和东方明珠的最佳位置之一。"
13013,浦东美术馆,13524859.1611222,3663712.323531756,121.495877,31.23812,"浦东美术馆, 浦东新区, 浦东美术馆是一座展示艺术作品的美术馆。晚上七点左右进馆人很少，可以很安静地看展。顶楼值得一去，非常出片，人少且空旷。顶楼还有一家餐厅，价格适中，可以更好地观看外滩夜景。浦东美术馆百元通票太值了，可以看到三场非常有意思的展。而且相比与上海博物馆，人相对较少，不会太拥挤。"
13024,上海四行仓库抗战纪念馆,13522144.408191783,3664001.5504959538,121.4714899595,31.2403414597,"上海四行仓库抗战纪念馆, 静安区, 陈列内容分为四个主题部分，展馆布局、虚实结合很好，是值得打卡的爱国主义教育纪念馆。起点：四行仓库，这里的博物馆要提前预约，一般提前2个小时预约就可以。途中会经过四行仓库等各种地标，不用刻意做攻略，基本沿着北苏州路走都能走到，感兴趣的过去看看即可。四行仓库：淞沪会战八百壮士在这里打响的保卫战。"
13048,愚园路,13519462.682151284,3662040.1062380513,121.4473996046,31.2252752103,"愚园路, 长宁区, 愚园路是一条历史悠久的老街，有许多具有特色的小店、餐厅和文化景点。可以在愚园路上的洋房建筑群前拍照，感受上海的历史风貌。路上有很多值得逛的小店，中间一条小巷子里集合了几家很好看的小店。"
13055,徐家汇公园,13518912.102194846,3658409.9050723887,121.4424536607,31.1973845657,"徐家汇公园, 徐汇区, 原是大华橡胶厂旧址，改为公园绿地，春日赏花，漫步集中，兴趣盎然，内含篮球场，是遛弯小憩的好去处。"
13094,上海和平饭店,13524107.890079692,3663853.3977729063,121.4891282174,31.239203552600003,"上海和平饭店, 黄浦区, 位于南京东路附近，周围环境有调调"
13208,乌中市集,13519348.349230746,3660223.9254771024,121.4463725345,31.2113226173,"乌中市集, 徐汇区, 乌中市集是一个位于乌鲁木齐中路的市集，周边有武康大楼、老麦咖啡和BM，是一个适合散步的地方。"
13254,大学路,13526603.661708688,3672390.49901901,121.5115481154,31.3047515452,"大学路, 杨浦区, 上海大街小巷都是小店 每一家都很有自己的特色 个人觉得没有必要去特别网红的店打卡 都很不错"
13255,上海静安寺,13519231.78531176,3661808.371654906,121.445325423,31.2234950515,"上海静安寺, 静安区, 静安寺是一座历史悠久的佛教寺庙，也是上海市区内最著名的景点之一。在静安寺内，你可以欣赏到古老的建筑和文化遗产。大雄宝殿是静安寺的主要建筑，你可以在这里拍摄精美的照片。早起可以去静安寺烧个香，看早晨的阳光洒在金顶上"
13523,四川路桥,13523737.060655003,3664442.6105287783,121.485797,31.243729,"四川路桥, 黄浦区, "
13648,思南公馆,13521858.316365736,3660651.559755552,121.4689199529,31.2146080522,"思南公馆, 黄浦区, 法国花园住宅群原来叫义品村，梅兰芳、程潜、李烈钧等名人曾住过，现在是开放的各种餐厅。欧式花园洋房建筑群，西餐酒吧咖啡店云集，思南书局、复工公园等都值得一去！"
13846,山阴路,13523619.73409732,3667324.172084137,121.4847430376,31.2658577042,"山阴路, 虹口区, 山阴路是一个历史文化街区，其中包括鲁迅故居和瞿秋白故居等历史建筑，游客可以在这里感受到历史的魅力。"
13982,鲁迅公园,13523492.99115749,3668087.349457226,121.4836044864,31.271717590300003,"鲁迅公园, 虹口区, 公园整体不算大，人挺多的，给我最大的感受就是非常有生活气息，很多老年人会在这进行一些文艺活动，比如演奏，唱歌，跳舞，你很容易被他们所吸引～非常希望自己老了也能有这样的精气神，能像他们一样热爱生活～(里面的花园要收费观赏哦)"
13991,M50创意园,13519681.679048564,3665015.7813899377,121.4493668872,31.2481310296,"M50创意园, 普陀区, M50创意园是一个聚集了画家、设计师工作室以及免费展览的地方，包括画展、设计展、艺术收藏展和民防工程展。有时还会有十岁小画家的美术展，展示他们捕捉快乐并表达的作品。"
14237,BlueBottleCoffee蓝瓶咖啡,13520058.490983063,3664322.974205482,121.4527518464,31.242810151,"BlueBottleCoffee蓝瓶咖啡, 静安区, 蓝瓶咖啡位于苏州河北边，需要过桥，夜景不错。恒丰路附近人不多，建筑好看，适合拍照。"
14238,佳善理下,13461424.194571612,3610801.224811079,120.926031,30.83085,"上海文艺b专属地图指南： - 小红书

除了北京长沙去过最多次的城市 虽然好像入沪的原因总脱不开 音乐剧…… 还有哪些好玩的地方地图写不下的欢迎大家补充 #旅游万粉扶持计划 #上海citywalk #文艺b #不为打卡的旅行 #文艺旅行 #城市观察员 #上海旅行 #上海旅行攻略 #上海探店 #上海小众旅行 #城市的一百种玩法 #上海文艺打卡

Tags: #旅游万粉扶持计划, #上海citywalk, #文艺b, #不为打卡的旅行, #文艺旅行, #城市观察员, #上海旅行, #上海旅行攻略, #上海探店, #上海小众旅行, #城市的一百种玩法, #上海文艺打卡

OCR extracted text:
上海文艺指南 WANGR 古籍井店 佳善理下 ONOS Charaluo 0 A区 黄浦区 静安 TEF 大 CH GNING 云门 长宁区 Shonghal 兴国 BARU ROND Heraius ！ 国  徐汇区 大美术 电物 GULMROAD 西岸面 NO-A UNUINRUAD TEMIPE"
14239,黄浦区,13523583.77371618,3662871.420976922,121.48442,31.231661,"上海文艺b专属地图指南： - 小红书

除了北京长沙去过最多次的城市 虽然好像入沪的原因总脱不开 音乐剧…… 还有哪些好玩的地方地图写不下的欢迎大家补充 #旅游万粉扶持计划 #上海citywalk #文艺b #不为打卡的旅行 #文艺旅行 #城市观察员 #上海旅行 #上海旅行攻略 #上海探店 #上海小众旅行 #城市的一百种玩法 #上海文艺打卡

Tags: #旅游万粉扶持计划, #上海citywalk, #文艺b, #不为打卡的旅行, #文艺旅行, #城市观察员, #上海旅行, #上海旅行攻略, #上海探店, #上海小众旅行, #城市的一百种玩法, #上海文艺打卡

OCR extracted text:
上海文艺指南 WANGR 古籍井店 佳善理下 ONOS Charaluo 0 A区 黄浦区 静安 TEF 大 CH GNING 云门 长宁区 Shonghal 兴国 BARU ROND Heraius ！ 国  徐汇区 大美术 电物 GULMROAD 西岸面 NO-A UNUINRUAD TEMIPE"
14240,静安,13519456.937553491,3662358.106800527,121.447348,31.227718,"上海文艺b专属地图指南： - 小红书

除了北京长沙去过最多次的城市 虽然好像入沪的原因总脱不开 音乐剧…… 还有哪些好玩的地方地图写不下的欢迎大家补充 #旅游万粉扶持计划 #上海citywalk #文艺b #不为打卡的旅行 #文艺旅行 #城市观察员 #上海旅行 #上海旅行攻略 #上海探店 #上海小众旅行 #城市的一百种玩法 #上海文艺打卡

Tags: #旅游万粉扶持计划, #上海citywalk, #文艺b, #不为打卡的旅行, #文艺旅行, #城市观察员, #上海旅行, #上海旅行攻略, #上海探店, #上海小众旅行, #城市的一百种玩法, #上海文艺打卡

OCR extracted text:
上海文艺指南 WANGR 古籍井店 佳善理下 ONOS Charaluo 0 A区 黄浦区 静安 TEF 大 CH GNING 云门 长宁区 Shonghal 兴国 BARU ROND Heraius ！ 国  徐汇区 大美术 电物 GULMROAD 西岸面 NO-A UNUINRUAD TEMIPE"
14241,云门,12611586.043650843,2660695.117634842,113.291805,23.236918,"上海文艺b专属地图指南： - 小红书

除了北京长沙去过最多次的城市 虽然好像入沪的原因总脱不开 音乐剧…… 还有哪些好玩的地方地图写不下的欢迎大家补充 #旅游万粉扶持计划 #上海citywalk #文艺b #不为打卡的旅行 #文艺旅行 #城市观察员 #上海旅行 #上海旅行攻略 #上海探店 #上海小众旅行 #城市的一百种玩法 #上海文艺打卡

Tags: #旅游万粉扶持计划, #上海citywalk, #文艺b, #不为打卡的旅行, #文艺旅行, #城市观察员, #上海旅行, #上海旅行攻略, #上海探店, #上海小众旅行, #城市的一百种玩法, #上海文艺打卡

OCR extracted text:
上海文艺指南 WANGR 古籍井店 佳善理下 ONOS Charaluo 0 A区 黄浦区 静安 TEF 大 CH GNING 云门 长宁区 Shonghal 兴国 BARU ROND Heraius ！ 国  徐汇区 大美术 电物 GULMROAD 西岸面 NO-A UNUINRUAD TEMIPE"
14242,长宁区,13516941.451020038,3661423.3129453897,121.424751,31.220537,"上海文艺b专属地图指南： - 小红书

除了北京长沙去过最多次的城市 虽然好像入沪的原因总脱不开 音乐剧…… 还有哪些好玩的地方地图写不下的欢迎大家补充 #旅游万粉扶持计划 #上海citywalk #文艺b #不为打卡的旅行 #文艺旅行 #城市观察员 #上海旅行 #上海旅行攻略 #上海探店 #上海小众旅行 #城市的一百种玩法 #上海文艺打卡

Tags: #旅游万粉扶持计划, #上海citywalk, #文艺b, #不为打卡的旅行, #文艺旅行, #城市观察员, #上海旅行, #上海旅行攻略, #上海探店, #上海小众旅行, #城市的一百种玩法, #上海文艺打卡

OCR extracted text:
上海文艺指南 WANGR 古籍井店 佳善理下 ONOS Charaluo 0 A区 黄浦区 静安 TEF 大 CH GNING 云门 长宁区 Shonghal 兴国 BARU ROND Heraius ！ 国  徐汇区 大美术 电物 GULMROAD 西岸面 NO-A UNUINRUAD TEMIPE"
14243,兴国,12842203.293142546,3041020.2982090204,115.363475,26.338129,"上海文艺b专属地图指南： - 小红书

除了北京长沙去过最多次的城市 虽然好像入沪的原因总脱不开 音乐剧…… 还有哪些好玩的地方地图写不下的欢迎大家补充 #旅游万粉扶持计划 #上海citywalk #文艺b #不为打卡的旅行 #文艺旅行 #城市观察员 #上海旅行 #上海旅行攻略 #上海探店 #上海小众旅行 #城市的一百种玩法 #上海文艺打卡

Tags: #旅游万粉扶持计划, #上海citywalk, #文艺b, #不为打卡的旅行, #文艺旅行, #城市观察员, #上海旅行, #上海旅行攻略, #上海探店, #上海小众旅行, #城市的一百种玩法, #上海文艺打卡

OCR extracted text:
上海文艺指南 WANGR 古籍井店 佳善理下 ONOS Charaluo 0 A区 黄浦区 静安 TEF 大 CH GNING 云门 长宁区 Shonghal 兴国 BARU ROND Heraius ！ 国  徐汇区 大美术 电物 GULMROAD 西岸面 NO-A UNUINRUAD TEMIPE"
14244,BARU ROND Heraius,12703808.007881587,2555687.273638147,114.120249,22.367348,"上海文艺b专属地图指南： - 小红书

除了北京长沙去过最多次的城市 虽然好像入沪的原因总脱不开 音乐剧…… 还有哪些好玩的地方地图写不下的欢迎大家补充 #旅游万粉扶持计划 #上海citywalk #文艺b #不为打卡的旅行 #文艺旅行 #城市观察员 #上海旅行 #上海旅行攻略 #上海探店 #上海小众旅行 #城市的一百种玩法 #上海文艺打卡

Tags: #旅游万粉扶持计划, #上海citywalk, #文艺b, #不为打卡的旅行, #文艺旅行, #城市观察员, #上海旅行, #上海旅行攻略, #上海探店, #上海小众旅行, #城市的一百种玩法, #上海文艺打卡

OCR extracted text:
上海文艺指南 WANGR 古籍井店 佳善理下 ONOS Charaluo 0 A区 黄浦区 静安 TEF 大 CH GNING 云门 长宁区 Shonghal 兴国 BARU ROND Heraius ！ 国  徐汇区 大美术 电物 GULMROAD 西岸面 NO-A UNUINRUAD TEMIPE"
14245,徐汇区,13518227.859055644,3657232.128091305,121.436307,31.188334,"上海文艺b专属地图指南： - 小红书

除了北京长沙去过最多次的城市 虽然好像入沪的原因总脱不开 音乐剧…… 还有哪些好玩的地方地图写不下的欢迎大家补充 #旅游万粉扶持计划 #上海citywalk #文艺b #不为打卡的旅行 #文艺旅行 #城市观察员 #上海旅行 #上海旅行攻略 #上海探店 #上海小众旅行 #城市的一百种玩法 #上海文艺打卡

Tags: #旅游万粉扶持计划, #上海citywalk, #文艺b, #不为打卡的旅行, #文艺旅行, #城市观察员, #上海旅行, #上海旅行攻略, #上海探店, #上海小众旅行, #城市的一百种玩法, #上海文艺打卡

OCR extracted text:
上海文艺指南 WANGR 古籍井店 佳善理下 ONOS Charaluo 0 A区 黄浦区 静安 TEF 大 CH GNING 云门 长宁区 Shonghal 兴国 BARU ROND Heraius ！ 国  徐汇区 大美术 电物 GULMROAD 西岸面 NO-A UNUINRUAD TEMIPE"
14246,电物 GULMROAD,13516200.285850331,3657062.574108192,121.418093,31.187031,"上海文艺b专属地图指南： - 小红书

除了北京长沙去过最多次的城市 虽然好像入沪的原因总脱不开 音乐剧…… 还有哪些好玩的地方地图写不下的欢迎大家补充 #旅游万粉扶持计划 #上海citywalk #文艺b #不为打卡的旅行 #文艺旅行 #城市观察员 #上海旅行 #上海旅行攻略 #上海探店 #上海小众旅行 #城市的一百种玩法 #上海文艺打卡

Tags: #旅游万粉扶持计划, #上海citywalk, #文艺b, #不为打卡的旅行, #文艺旅行, #城市观察员, #上海旅行, #上海旅行攻略, #上海探店, #上海小众旅行, #城市的一百种玩法, #上海文艺打卡

OCR extracted text:
上海文艺指南 WANGR 古籍井店 佳善理下 ONOS Charaluo 0 A区 黄浦区 静安 TEF 大 CH GNING 云门 长宁区 Shonghal 兴国 BARU ROND Heraius ！ 国  徐汇区 大美术 电物 GULMROAD 西岸面 NO-A UNUINRUAD TEMIPE"
14247,NO-A UNUINRUAD TEMIPE,12958126.735436046,4858463.582986351,116.404833,39.948516,"上海文艺b专属地图指南： - 小红书

除了北京长沙去过最多次的城市 虽然好像入沪的原因总脱不开 音乐剧…… 还有哪些好玩的地方地图写不下的欢迎大家补充 #旅游万粉扶持计划 #上海citywalk #文艺b #不为打卡的旅行 #文艺旅行 #城市观察员 #上海旅行 #上海旅行攻略 #上海探店 #上海小众旅行 #城市的一百种玩法 #上海文艺打卡

Tags: #旅游万粉扶持计划, #上海citywalk, #文艺b, #不为打卡的旅行, #文艺旅行, #城市观察员, #上海旅行, #上海旅行攻略, #上海探店, #上海小众旅行, #城市的一百种玩法, #上海文艺打卡

OCR extracted text:
上海文艺指南 WANGR 古籍井店 佳善理下 ONOS Charaluo 0 A区 黄浦区 静安 TEF 大 CH GNING 云门 长宁区 Shonghal 兴国 BARU ROND Heraius ！ 国  徐汇区 大美术 电物 GULMROAD 西岸面 NO-A UNUINRUAD TEMIPE"
14248,外滩美术馆,13523939.105530791,3664114.5033215596,121.487612,31.241209,"位于南京东路地铁站附近，展示当代艺术作品，是欣赏艺术和文化的好去处。 Integration of POI data via the Amap API. Address: 虎丘路20号(南京东路地铁站6号口步行430米) Coordinates: 31.241209, 121.487612 Category: 科教文化服务;美术馆;美术馆"
